car_name,year,horsepower,mileage,fuel_type,transmission,owner_type,price
hyundai santro xing xl,2005,97.7,0.0,petrol,manual,first,1.3
maruti swift vdi,2012,74.0,22.9,diesel,manual,first,3.75
tata zest revotron 1.2t xe,2017,88.7,17.57,petrol,manual,first,4.5
honda amaze sx i-vtec,2016,86.7,18.0,petrol,manual,first,4.82
ford figo diesel zxi,2012,68.0,20.0,diesel,manual,first,2.8
maruti ritz vdi,2013,73.94,23.2,diesel,manual,first,3.11
honda city i vtec e,2009,117.3,17.8,petrol,manual,first,3.25
bmw 5 series 2003-2012 525d,2011,218.0,16.73,diesel,automatic,second,13.9
hyundai i10 sportz 1.2,2009,78.9,20.36,petrol,manual,first,2.25
hyundai grand i10 sportz,2016,82.0,18.9,petrol,manual,first,5.75
hyundai santro xing xo,2007,97.7,17.0,petrol,manual,first,2.1
honda amaze sx i-vtec,2016,86.7,17.8,petrol,manual,first,5.0
toyota fortuner 4x2 manual,2014,168.5,13.0,diesel,manual,first,16.5
audi a6 2011-2015 35 tdi premium,2018,174.33,17.68,diesel,automatic,first,39.58
ford ecosport 1.5 dv5 mt titanium optional,2013,89.84,22.7,diesel,manual,first,5.5
mahindra xuv500 w8 2wd,2014,140.0,15.1,diesel,manual,first,8.1
honda amaze sx i-dtec,2015,98.6,25.8,diesel,manual,first,3.5
volkswagen polo diesel highline 1.2l,2013,73.9,22.07,diesel,manual,first,2.79
hyundai verna transform sx vgt crdi,2010,110.0,16.2,diesel,manual,first,3.45
maruti wagon r vxi bs iv,2016,67.1,18.9,petrol,manual,first,4.45
volkswagen polo petrol highline 1.6l,2010,103.5,15.26,petrol,manual,first,2.65
hyundai i20 1.4 crdi sportz,2011,90.0,23.0,diesel,manual,second,3.8
hyundai i20 asta 1.2,2014,82.85,18.5,petrol,manual,first,4.65
datsun go plus t petrol,2017,67.0,19.83,petrol,manual,first,3.95
audi a4 3.0 tdi quattro premium,2010,241.4,14.94,diesel,automatic,first,9.8
hyundai i20 2015-2017 asta,2009,80.0,17.0,petrol,manual,second,2.7
maruti omni 5 str std,2010,35.0,14.0,petrol,manual,first,2.41
toyota etios liva 1.2 g,2014,78.9,17.71,petrol,manual,first,3.9
jaguar xf 3.0 litre s premium luxury,2011,270.9,14.74,diesel,automatic,second,24.0
mahindra xuv500 w8 2wd,2012,140.0,16.0,diesel,manual,second,5.75
hyundai verna 1.6 sx crdi (o) at,2014,126.32,22.32,diesel,automatic,first,5.25
toyota innova crysta 2.8 zx at,2017,171.5,11.36,diesel,automatic,first,19.25
maruti eeco 5 seater ac,2017,73.0,15.1,petrol,manual,first,3.91
tata nano twist xt,2014,37.5,25.4,petrol,manual,first,2.15
bmw 3 series 320d luxury line,2015,190.0,22.69,diesel,automatic,first,20.75
honda civic 2006-2010 1.8 v mt,2010,130.0,13.5,petrol,manual,first,3.35
toyota innova 2.5 vx (diesel) 7 seater,2014,100.6,12.99,diesel,manual,first,11.11
volvo v40 cross country d3,2014,150.0,23.3,diesel,automatic,first,20.0
nissan micra xv cvt,2016,75.94,19.15,petrol,automatic,first,6.55
bmw 5 series 2010-2013 525i,2009,215.0,10.8,petrol,automatic,first,7.0
maruti vitara brezza vdi,2016,88.5,24.3,diesel,manual,first,7.5
hyundai santro xing xl erlx euro iii,2005,97.7,17.0,petrol,manual,second,0.85
mercedes-benz b class b200 cdi,2014,107.3,15.0,diesel,automatic,second,16.75
hyundai verna crdi 1.6 sx option,2018,126.2,22.0,diesel,manual,first,10.95
maruti wagon r lxi bs iv,2011,67.1,18.9,petrol,manual,first,2.45
tata nano xta,2017,37.48,21.9,petrol,automatic,first,3.23
mahindra scorpio vlx,2014,120.0,12.05,diesel,manual,first,7.75
mercedes-benz new c-class 200 k at,2009,178.0,11.7,petrol,automatic,first,9.35
maruti wagon r lxi cng,2013,58.16,26.6,cng,manual,first,3.25
honda cr-v 2.4 mt,2007,152.0,10.8,petrol,manual,second,5.25
volkswagen vento 1.5 tdi comfortline at,2015,103.2,21.21,diesel,automatic,first,7.25
maruti ciaz vxi plus,2017,91.1,20.73,petrol,manual,first,7.47
mahindra xuv500 at w10 fwd,2016,140.0,16.0,diesel,automatic,first,13.25
maruti ritz vxi abs,2016,85.8,21.1,petrol,manual,first,5.81
maruti alto k10 vxi,2014,67.1,24.07,petrol,manual,first,2.6
mercedes-benz slc 43 amg,2017,362.07,19.0,petrol,automatic,first,54.0
hyundai verna vtvt 1.6 at sx plus,2019,121.3,17.0,petrol,automatic,first,11.5
maruti alto lxi bsiii,2010,46.3,19.7,petrol,manual,second,1.6
bmw 1 series 118d base,2015,143.0,20.58,diesel,automatic,first,17.22
honda jazz 1.2 v cvt i vtec,2015,88.7,19.0,petrol,automatic,first,6.0
honda civic 2006-2010 1.8 v mt,2012,130.0,13.5,petrol,manual,first,3.95
mercedes-benz new c-class c 220 cdi avantgarde,2014,170.0,19.27,diesel,automatic,first,17.95
honda amaze sx i-dtec,2014,98.6,25.8,diesel,manual,first,3.7
maruti swift vvt vxi,2016,81.8,22.0,petrol,manual,first,5.43
hyundai santro xing xo erlx euro ii,2008,97.7,17.0,petrol,manual,third,1.67
toyota fortuner 3.0 diesel,2012,171.0,11.5,diesel,manual,first,13.49
chevrolet beat lt option,2014,76.8,18.6,petrol,manual,first,2.85
skoda rapid 1.5 tdi elegance,2013,103.52,21.14,diesel,manual,first,4.75
maruti ciaz 1.4 alpha,2018,91.1,20.73,petrol,manual,first,9.9
audi rs5 coupe,2013,444.0,11.05,petrol,automatic,first,37.0
bmw 3 series luxury line,2014,190.0,21.76,diesel,automatic,first,26.5
audi a4 2.0 tdi 177 bhp premium plus,2015,174.33,17.11,diesel,automatic,first,23.32
maruti swift vdi,2016,74.0,22.9,diesel,manual,first,6.25
mercedes-benz s class 2005 2013 s 500,2010,362.9,7.81,petrol,automatic,first,30.0
skoda rapid 1.5 tdi at elegance plus black package,2016,103.52,21.66,diesel,automatic,first,9.86
skoda superb elegance 2.0 tdi cr at,2012,138.1,17.2,diesel,automatic,first,8.5
hyundai eon magna plus,2019,55.2,21.1,petrol,manual,first,4.23
volkswagen polo diesel trendline 1.2l,2012,73.9,22.07,diesel,manual,first,3.5
datsun go nxt,2016,67.06,20.63,petrol,manual,first,2.5
honda brio s mt,2013,86.8,19.4,petrol,manual,first,2.39
mercedes-benz b class b180,2013,120.7,14.8,petrol,automatic,first,11.25
honda city i dtec v,2015,98.6,26.0,diesel,manual,first,7.11
toyota innova 2.5 g (diesel) 7 seater,2016,100.6,12.99,diesel,manual,first,10.9
maruti swift vxi optional,2017,81.8,20.4,petrol,manual,first,6.2
mahindra xuv500 w8 2wd,2012,140.0,15.1,diesel,manual,first,7.9
ford ecosport 1.5 dv5 mt ambiente,2014,89.84,22.7,diesel,manual,first,4.42
toyota fortuner 4x2 manual,2012,168.5,13.0,diesel,manual,first,13.5
volkswagen vento 1.5 highline plus at 16 alloy,2013,108.5,21.5,diesel,automatic,first,6.25
ford figo diesel titanium,2010,68.0,20.0,diesel,manual,second,2.1
bmw x5 xdrive 30d,2015,258.0,15.3,diesel,automatic,first,45.0
mercedes-benz new c-class c 220 cdi style,2017,167.62,19.27,diesel,automatic,first,33.66
honda brio v mt,2012,86.8,19.4,petrol,manual,second,3.65
hyundai i10 magna 1.2,2013,78.9,20.36,petrol,manual,first,2.75
mercedes-benz glc 220,2016,170.0,17.9,diesel,automatic,first,42.5
hyundai grand i10 1.2 kappa asta,2019,81.86,18.9,petrol,manual,first,6.5
audi a6 2011-2015 2.0 tdi premium plus,2012,174.33,17.68,diesel,automatic,second,19.0
volkswagen vento petrol highline at,2013,103.6,14.4,petrol,automatic,second,4.45
mini countryman cooper d,2017,112.0,16.6,diesel,automatic,second,23.0
hyundai i20 asta 1.4 crdi,2014,88.73,22.54,diesel,manual,first,8.35
audi a6 2011-2015 2.0 tdi premium plus,2014,174.33,17.68,diesel,automatic,first,22.95
chevrolet beat diesel lt,2012,57.6,25.44,diesel,manual,first,1.5
skoda superb elegance 1.8 tsi at,2012,157.75,13.7,petrol,automatic,first,6.89
ford fiesta 1.4 tdci exi limited edition,2006,68.0,17.8,diesel,manual,second,1.45
bmw 5 series 520d luxury line,2014,190.0,22.48,diesel,automatic,first,33.5
chevrolet optra magnum 1.6 ls bs3,2007,102.5,12.9,petrol,manual,first,1.25
volkswagen polo diesel highline 1.2l,2012,73.9,22.07,diesel,manual,first,4.2
renault lodgy 110ps rxz 8 seater,2015,108.5,19.98,diesel,manual,first,6.75
mercedes-benz e-class e250 cdi avantgrade,2014,201.1,13.0,diesel,automatic,first,32.0
maruti baleno alpha,2017,83.1,21.4,petrol,manual,first,7.5
hyundai verna 1.6 sx,2012,126.32,22.32,diesel,manual,first,4.6
hyundai i10 magna 1.1,2017,68.05,19.81,petrol,manual,first,4.04
mahindra scorpio 1.99 s10 4wd,2016,120.0,15.4,diesel,manual,first,10.31
land rover range rover 2.2l dynamic,2018,187.7,12.7,diesel,automatic,first,55.76
ford figo diesel zxi,2010,68.0,20.0,diesel,manual,first,2.6
maruti ertiga zdi,2016,88.5,25.47,diesel,manual,first,8.5
honda city 1.5 gxi,2007,97.7,0.0,petrol,manual,first,2.95
honda amaze s i-dtech,2014,98.6,25.8,diesel,manual,first,3.5
hyundai i10 magna,2015,78.9,20.36,petrol,manual,first,3.55
honda amaze s i-dtech,2013,98.6,25.8,diesel,manual,first,3.25
skoda laura ambiente,2008,106.0,17.5,diesel,manual,first,4.5
renault duster 85ps diesel rxl,2014,83.8,19.87,diesel,manual,first,5.35
mahindra nuvosport n6,2017,100.0,17.45,diesel,manual,second,6.5
maruti vitara brezza zdi plus dual tone,2016,88.5,24.3,diesel,manual,first,9.0
hyundai i20 asta option 1.2,2016,81.83,18.6,petrol,manual,first,6.0
skoda fabia 1.4 mpi ambiente,2009,85.0,14.7,petrol,manual,first,2.75
tata indigo ecs glx,2010,64.1,15.64,petrol,manual,first,1.5
audi q3 2012-2015 35 tdi quattro premium plus,2015,174.33,15.73,diesel,automatic,first,19.9
skoda octavia elegance 1.8 tsi at,2014,177.5,14.7,petrol,automatic,first,10.0
toyota etios liva gd sp,2014,67.06,23.59,diesel,manual,first,3.0
maruti swift 1.3 vxi,2010,97.7,16.1,petrol,manual,first,2.11
mercedes-benz b class b180,2014,120.7,14.8,petrol,automatic,first,11.96
honda amaze s diesel,2013,98.6,27.4,diesel,manual,first,3.25
hyundai verna 1.6 sx,2012,126.32,22.32,diesel,manual,second,4.75
renault duster 85ps diesel rxl optional,2014,83.8,20.46,diesel,manual,first,5.95
hyundai creta 1.6 vtvt s,2015,121.3,15.29,petrol,manual,second,8.15
maruti wagon r amt vxi,2016,67.0,20.51,petrol,automatic,first,4.22
mercedes-benz new c-class c250 avantgarde,2010,186.0,11.74,petrol,automatic,first,10.5
audi a8 l 3.0 tdi quattro,2012,246.7,11.8,diesel,automatic,first,45.0
hyundai i10 magna 1.1,2012,68.05,19.81,petrol,manual,second,2.9
skoda rapid 1.6 mpi at style black package,2017,103.52,14.3,petrol,automatic,first,8.9
skoda superb style 1.8 tsi at,2017,177.46,14.67,petrol,automatic,first,26.0
hyundai i20 active 1.2 sx,2018,81.86,17.19,petrol,manual,first,8.22
honda amaze vx i-dtec,2014,98.6,25.8,diesel,manual,second,3.5
maruti wagon r lxi,2004,67.1,18.9,petrol,manual,second,1.25
mahindra verito 1.5 d4 bsiv,2013,65.0,21.03,diesel,manual,first,3.7
mercedes-benz new c-class c 220d avantgarde edition c,2018,167.62,19.27,diesel,automatic,first,39.41
maruti wagon r vxi,2013,67.04,22.5,petrol,manual,first,2.65
nissan terrano xv premium 110 ps anniversary edition,2015,108.5,19.01,diesel,manual,second,8.92
maruti swift vdi bsiv,2013,97.7,17.8,diesel,manual,first,4.1
mini cooper convertible s,2017,189.08,16.82,petrol,automatic,first,35.67
ford figo diesel,2015,99.0,0.0,diesel,manual,first,3.6
tata indica v2 dls bsii,2007,53.5,17.2,diesel,manual,second,0.85
chevrolet beat lt,2016,76.8,18.6,petrol,manual,second,3.32
volkswagen polo diesel comfortline 1.2l,2012,73.9,22.07,diesel,manual,first,3.6
maruti swift zdi,2016,74.0,22.9,diesel,manual,first,6.8
ford figo diesel exi,2012,68.05,20.0,diesel,manual,first,2.5
toyota innova crysta 2.8 gx at,2019,171.5,11.36,diesel,automatic,first,19.64
hyundai santa fe 4x4 at,2011,194.3,11.72,diesel,automatic,second,7.0
honda city i-vtec v,2011,117.3,17.4,petrol,manual,first,3.87
hyundai i20 1.2 magna executive,2018,81.83,18.6,petrol,manual,first,6.27
mercedes-benz new c-class c 220d avantgarde edition c,2015,167.62,19.27,diesel,automatic,first,18.12
chevrolet beat diesel lt,2013,57.6,25.44,diesel,manual,first,2.65
hyundai i20 sportz 1.4 crdi,2015,88.73,22.54,diesel,manual,first,7.2
toyota innova 2.5 z diesel 7 seater,2015,100.6,12.99,diesel,manual,first,14.3
maruti ertiga vdi,2013,88.76,20.77,diesel,manual,first,6.9
toyota innova 2.5 v diesel 7-seater,2014,102.0,12.8,diesel,manual,first,10.75
hyundai santro xing xo erlx euro ii,2007,97.7,17.0,petrol,manual,third,0.95
honda city i vtec v,2016,117.3,17.8,petrol,manual,first,8.09
bmw x1 sdrive20d,2014,184.0,17.05,diesel,automatic,first,18.5
hyundai grand i10 crdi era,2017,70.0,24.0,diesel,manual,first,4.75
maruti ciaz 1.3 alpha,2016,88.5,28.09,diesel,manual,first,8.45
skoda rapid leisure 1.6 tdi mt,2012,103.6,20.5,diesel,manual,first,3.5
hyundai accent crdi,2006,82.0,13.1,diesel,manual,first,1.8
volkswagen polo gt 1.5 tdi,2014,103.6,19.91,diesel,manual,second,3.7
honda jazz 1.2 vx i vtec,2017,88.7,18.7,petrol,manual,first,7.17
hyundai i10 era,2010,68.05,19.81,petrol,manual,first,1.75
hyundai tucson 2.0 e-vgt 2wd at gls,2018,183.0,16.38,diesel,automatic,first,21.99
toyota innova crysta 2.4 zx mt,2017,147.8,13.68,diesel,manual,first,18.65
maruti omni mpi cargo bsiii w/ immobiliser,2011,35.0,19.7,petrol,manual,third,1.85
maruti swift vxi bsiv,2017,81.8,20.4,petrol,manual,second,5.95
hyundai grand i10 magna,2014,82.0,18.9,petrol,manual,first,3.75
maruti swift vdi,2012,74.0,22.9,diesel,manual,first,3.75
hyundai verna crdi 1.6 sx,2008,126.2,22.0,diesel,manual,first,2.6
hyundai santro xing xl,2006,97.7,0.0,petrol,manual,first,1.75
hyundai i20 1.2 sportz,2010,80.0,17.0,petrol,manual,first,2.8
mercedes-benz gle 350d,2017,254.79,11.57,diesel,automatic,first,61.29
mercedes-benz new c-class c 220 cdi classic,2014,170.0,15.8,diesel,manual,second,18.0
maruti ritz zdi,2014,73.94,23.2,diesel,manual,first,4.35
hyundai creta 1.6 crdi sx,2016,126.2,19.67,diesel,manual,first,13.75
maruti a-star vxi,2010,66.1,19.0,petrol,manual,first,2.0
renault duster 110ps diesel rxz option,2016,108.45,19.64,diesel,manual,first,10.0
fiat grande punto 1.3 emotion pack (diesel),2010,76.0,17.8,diesel,manual,first,1.65
bmw x3 xdrive30d m sport,2017,258.0,16.55,diesel,automatic,first,45.77
hyundai i10 sportz,2010,78.9,20.36,petrol,manual,second,3.25
toyota innova 2.5 g4 diesel 7-seater,2016,102.0,12.8,diesel,manual,first,12.8
maruti zen vxi bsii,2002,60.0,17.3,petrol,manual,third,0.55
maruti swift vdi,2018,74.0,28.4,diesel,manual,first,7.15
mahindra scorpio vlx 2.2 mhawk airbag bsiv,2013,120.0,12.05,diesel,manual,second,7.0
tata zest quadrajet 1.3 75ps xe,2017,74.0,22.95,diesel,manual,first,3.75
ford ecosport 1.0 ecoboost titanium plus,2017,123.24,18.88,petrol,manual,first,8.5
maruti swift dzire zdi,2012,74.0,23.4,diesel,manual,first,4.35
maruti alto 800 lxi,2016,47.3,22.74,petrol,manual,first,3.26
honda city 1.5 s mt,2011,118.0,17.0,petrol,manual,first,4.21
audi q7 3.0 tdi quattro technology,2018,241.4,12.07,diesel,automatic,first,70.36
skoda laura 1.9 tdi at ambiente,2009,105.0,17.0,diesel,automatic,second,2.95
hyundai verna 1.6 sx vtvt (o),2012,121.3,17.1,petrol,manual,first,4.28
honda city 1.5 v at,2009,118.0,16.8,petrol,automatic,first,3.57
hyundai i20 magna optional 1.4 crdi,2013,88.8,21.9,diesel,manual,first,3.11
hyundai i20 sportz at 1.4,2014,98.6,15.0,petrol,automatic,first,5.96
volkswagen vento diesel highline,2011,103.6,20.54,diesel,manual,first,4.7
honda city i vtec vx,2014,117.3,17.4,petrol,manual,first,6.9
tata zest quadrajet 1.3 75ps xe,2018,74.0,22.95,diesel,manual,first,5.25
bmw 5 series 2003-2012 520d,2015,177.0,18.48,diesel,automatic,first,28.0
maruti wagon r lxi minor,2009,67.0,18.9,petrol,manual,first,1.35
honda jazz vx,2015,88.7,18.2,petrol,manual,first,4.85
volkswagen jetta 2007-2011 2.0 tdi comfortline,2012,105.0,15.0,diesel,manual,first,6.7
hyundai i10 magna 1.2,2010,78.9,20.36,petrol,manual,first,3.1
mercedes-benz new c-class c 220 cdi avantgarde,2015,170.0,19.27,diesel,automatic,first,18.64
hyundai i10 magna 1.2 itech se,2012,78.9,20.36,petrol,manual,first,2.8
toyota innova crysta 2.4 zx mt,2016,147.8,13.68,diesel,manual,first,20.25
audi a6 2011-2015 2.0 tdi technology,2015,174.33,17.68,diesel,automatic,first,26.78
toyota innova 2.5 vx (diesel) 7 seater,2010,100.6,12.99,diesel,manual,second,8.26
volkswagen polo petrol trendline 1.2l,2015,73.9,16.47,petrol,manual,first,3.89
maruti alto k10 lxi,2011,67.1,20.92,petrol,manual,first,2.1
honda city i-vtec cvt zx,2017,117.3,18.0,petrol,automatic,first,12.69
tata indigo lx,2013,70.0,17.0,diesel,manual,first,2.58
audi a6 2011-2015 2.0 tdi premium plus,2014,174.33,17.68,diesel,automatic,first,20.77
mercedes-benz gla class 200 cdi sport,2015,136.0,17.9,diesel,automatic,first,20.26
hyundai santro xing xl,2006,97.7,0.0,petrol,manual,second,1.5
maruti swift vdi bsiv,2011,97.7,17.8,diesel,manual,first,2.5
maruti celerio vxi at,2014,67.04,23.1,petrol,automatic,first,4.25
mercedes-benz gle 250d,2017,201.15,17.9,diesel,automatic,first,57.0
land rover range rover hse dynamic,2017,187.7,12.7,diesel,automatic,first,44.0
volkswagen vento diesel trendline,2011,103.6,20.54,diesel,manual,first,3.65
maruti omni 8 seater bsiv,2012,35.0,14.0,petrol,manual,first,2.05
honda brio 1.2 vx mt,2012,86.8,18.5,petrol,manual,first,3.13
tata sumo delux,2000,83.1,14.07,diesel,manual,second,1.5
tata indica vista aura 1.3 quadrajet,2012,75.0,18.0,diesel,manual,first,2.85
maruti wagon r lxi bs iv,2012,67.1,18.9,petrol,manual,first,2.65
mahindra xuv500 w8 4wd,2015,140.0,16.0,diesel,manual,first,10.6
tata indigo ls dicor,2008,70.0,17.1,diesel,manual,second,1.25
maruti ertiga paseo vxi,2018,93.7,16.02,petrol,manual,first,8.25
honda accord 2.4 a/t,2011,177.6,11.7,petrol,automatic,first,4.45
maruti swift dzire vdi,2012,73.9,19.3,diesel,manual,first,3.7
ford fiesta exi 1.4 tdci ltd,2009,68.0,17.8,diesel,manual,first,2.8
honda city zx gxi,2008,78.0,17.7,petrol,manual,first,1.8
audi a6 2011-2015 2.0 tdi premium plus,2014,174.33,17.68,diesel,automatic,first,21.95
bmw 6 series 640d gran coupe,2011,313.0,9.52,diesel,automatic,first,49.0
audi q7 45 tdi quattro technology,2017,245.0,14.75,diesel,automatic,first,62.67
maruti zen estilo lxi green (cng),2008,67.1,26.3,cng,manual,first,1.4
hyundai i20 1.4 crdi asta,2012,90.0,23.0,diesel,manual,first,5.5
hyundai i10 sportz at,2009,78.9,16.95,petrol,automatic,third,2.95
honda jazz 1.2 v cvt i vtec,2016,88.7,19.0,petrol,automatic,first,6.86
maruti swift vdi bsiv,2015,74.0,25.2,diesel,manual,first,6.15
hyundai i20 asta 1.2,2011,82.85,18.5,petrol,manual,second,3.3
volkswagen polo petrol comfortline 1.2l,2011,73.9,16.47,petrol,manual,first,2.55
maruti alto lxi,2009,46.3,19.7,petrol,manual,first,1.5
toyota corolla h4,2004,125.0,11.3,petrol,automatic,second,2.5
maruti alto lxi,2006,46.3,19.7,petrol,manual,second,1.4
tata manza elan quadrajet bs iv,2012,88.8,21.12,diesel,manual,first,3.4
maruti alto lxi,2012,46.3,19.7,petrol,manual,first,2.25
skoda octavia ambition plus 2.0 tdi at,2013,141.0,19.3,diesel,automatic,first,7.5
toyota corolla h4,2008,125.0,11.3,petrol,automatic,first,2.8
hyundai i20 asta option 1.2,2016,81.83,18.6,petrol,manual,first,7.66
maruti vitara brezza ldi,2016,88.5,24.3,diesel,manual,first,7.15
honda city 1.5 v mt,2010,118.0,17.0,petrol,manual,first,3.5
tata indica vista aqua 1.3 quadrajet,2014,75.0,18.0,diesel,manual,second,3.5
honda amaze s i-dtech,2013,98.6,25.8,diesel,manual,first,3.45
hyundai eon d lite plus,2016,55.2,21.1,petrol,manual,first,3.55
bmw 3 series luxury line,2015,190.0,21.76,diesel,automatic,second,25.99
hyundai verna 1.6 sx,2012,126.32,22.32,diesel,manual,first,5.25
tata manza club class quadrajet90 ls,2013,88.8,21.02,diesel,manual,first,2.9
skoda octavia rs,2005,227.0,14.45,petrol,automatic,first,2.05
maruti alto k10 vxi,2017,67.1,24.07,petrol,manual,first,3.75
